2025-12-09 23:46:57.009 [info] Reading sessions from keychain...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.009 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.009 [info] Got 0 sessions for ...
2025-12-09 23:46:57.377 [info] Getting sessions for all scopes...
2025-12-09 23:46:57.377 [info] Got 0 sessions for ...
2025-12-09 23:46:58.065 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-12-09 23:46:58.065 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-12-09 23:46:58.476 [info] Getting sessions for all scopes...
2025-12-09 23:46:58.476 [info] Got 0 sessions for ...
