2025-12-31 22:01:57.524 [info] ChatSessionStore: Migrating 0 chat sessions from storage service to file system
2025-12-31 22:01:57.862 [info] Started local extension host with pid 11936.
2025-12-31 22:01:58.466 [info] [vscodevim.vim]: Command `toggleVim` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.467 [info] [vscodevim.vim]: Command `vim.showQuickpickCmdLine` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.467 [info] [vscodevim.vim]: Command `vim.editVimrc` already registered by NVim (HenryTsz.nvim)
2025-12-31 22:01:58.491 [warning] [vscodevim.vim]: Cannot register 'vim.normalModeKeyBindings'. This property is already registered.
2025-12-31 22:01:58.492 [warning] [vscodevim.vim]: Cannot register 'vim.normalModeKeyBindingsNonRecursive'. This property is already registered.
2025-12-31 22:01:58.492 [warning] [vscodevim.vim]: Cannot register 'vim.operatorPendingModeKeyBindings'. This property is already registered.
2025-12-31 22:01:58.493 [warning] [vscodevim.vim]: Cannot register 'vim.operatorPendingModeKeyBindingsNonRecursive'. This property is already registered.
2025-12-31 22:01:58.493 [warning] [vscodevim.vim]: Cannot register 'vim.useCtrlKeys'. This property is already registered.
2025-12-31 22:01:58.494 [warning] [vscodevim.vim]: Cannot register 'vim.leader'. This property is already registered.
2025-12-31 22:01:58.494 [warning] [vscodevim.vim]: Cannot register 'vim.searchHighlightColor'. This property is already registered.
2025-12-31 22:01:58.495 [warning] [vscodevim.vim]: Cannot register 'vim.searchHighlightTextColor'. This property is already registered.
2025-12-31 22:01:58.495 [warning] [vscodevim.vim]: Cannot register 'vim.searchMatchColor'. This property is already registered.
2025-12-31 22:01:58.496 [warning] [vscodevim.vim]: Cannot register 'vim.searchMatchTextColor'. This property is already registered.
2025-12-31 22:01:58.496 [warning] [vscodevim.vim]: Cannot register 'vim.substitutionColor'. This property is already registered.
2025-12-31 22:01:58.497 [warning] [vscodevim.vim]: Cannot register 'vim.substitutionTextColor'. This property is already registered.
2025-12-31 22:01:58.497 [warning] [vscodevim.vim]: Cannot register 'vim.highlightedyank.enable'. This property is already registered.
2025-12-31 22:01:58.498 [warning] [vscodevim.vim]: Cannot register 'vim.highlightedyank.color'. This property is already registered.
2025-12-31 22:01:58.498 [warning] [vscodevim.vim]: Cannot register 'vim.highlightedyank.textColor'. This property is already registered.
2025-12-31 22:01:58.498 [warning] [vscodevim.vim]: Cannot register 'vim.highlightedyank.duration'. This property is already registered.
